 Month , Index ,Y/Y,Seq.
1/1/90,1,,
2/1/90,1.009,,0.90%
3/1/90,1.021,,1.20%
4/1/90,0.982,,-3.80%
5/1/90,0.965,,-1.70%
6/1/90,0.977,,1.20%
7/1/90,0.938,,-4.00%
8/1/90,0.933,,-0.50%
9/1/90,1.01,,8.30%
10/1/90,1.029,,1.90%
11/1/90,1.047,,1.70%
12/1/90,0.974,,-7.00%
1/1/91,0.959,-4.10%,-1.50%
2/1/91,0.946,-6.20%,-1.40%
3/1/91,0.97,-5.00%,2.50%
4/1/91,0.947,-3.60%,-2.40%
5/1/91,0.92,-4.70%,-2.90%
6/1/91,0.949,-2.90%,3.20%
7/1/91,0.916,-2.30%,-3.50%
8/1/91,0.906,-2.90%,-1.10%
9/1/91,0.942,-6.70%,4.00%
10/1/91,0.949,-7.80%,0.70%
11/1/91,0.934,-10.80%,-1.60%
12/1/91,0.897,-7.90%,-4.00%
1/1/92,0.909,-5.20%,1.30%
2/1/92,0.94,-0.60%,3.40%
3/1/92,0.937,-3.40%,-0.30%
4/1/92,0.937,-1.10%,0.00%
5/1/92,0.912,-0.90%,-2.70%
6/1/92,0.93,-2.00%,2.00%
7/1/92,0.896,-2.20%,-3.70%
8/1/92,0.936,3.30%,4.50%
9/1/92,0.953,1.20%,1.80%
10/1/92,0.98,3.30%,2.80%
11/1/92,0.981,5.00%,0.10%
12/1/92,0.968,7.90%,-1.30%
1/1/93,0.984,8.30%,1.70%
2/1/93,1.016,8.10%,3.30%
3/1/93,1.025,9.40%,0.90%
4/1/93,1.002,6.90%,-2.20%
5/1/93,0.99,8.60%,-1.20%
6/1/93,0.988,6.20%,-0.20%
7/1/93,0.969,8.10%,-1.90%
8/1/93,0.971,3.70%,0.20%
9/1/93,1.008,5.80%,3.80%
10/1/93,1.028,4.90%,2.00%
11/1/93,1.03,5.00%,0.20%
12/1/93,1.004,3.70%,-2.50%
1/1/94,0.979,-0.50%,-2.50%
2/1/94,1.019,0.30%,4.10%
3/1/94,1.073,4.70%,5.30%
4/1/94,1.11,10.80%,3.40%
5/1/94,1.09,10.10%,-1.80%
6/1/94,1.138,15.20%,4.40%
7/1/94,1.085,12.00%,-4.70%
8/1/94,1.115,14.80%,2.80%
9/1/94,1.179,17.00%,5.70%
10/1/94,1.172,14.00%,-0.60%
11/1/94,1.179,14.50%,0.60%
12/1/94,1.148,14.30%,-2.60%
1/1/95,1.18,20.50%,2.80%
2/1/95,1.14,11.90%,-3.40%
3/1/95,1.127,5.00%,-1.10%
4/1/95,1.14,2.70%,1.20%
5/1/95,1.112,2.00%,-2.50%
6/1/95,1.09,-4.20%,-2.00%
7/1/95,1.08,-0.50%,-0.90%
8/1/95,1.113,-0.20%,3.10%
9/1/95,1.088,-7.70%,-2.20%
10/1/95,1.112,-5.10%,2.20%
11/1/95,1.106,-6.20%,-0.50%
12/1/95,1.116,-2.80%,0.90%
1/1/96,1.143,-3.10%,2.40%
2/1/96,1.154,1.20%,1.00%
3/1/96,1.118,-0.80%,-3.10%
4/1/96,1.155,1.30%,3.30%
5/1/96,1.12,0.70%,-3.00%
6/1/96,1.131,3.80%,1.00%
7/1/96,1.143,5.80%,1.10%
8/1/96,1.123,0.90%,-1.70%
9/1/96,1.183,8.70%,5.30%
10/1/96,1.154,3.80%,-2.50%
11/1/96,1.184,7.10%,2.60%
12/1/96,1.178,5.60%,-0.50%
1/1/97,1.163,1.70%,-1.30%
2/1/97,1.171,1.50%,0.70%
3/1/97,1.161,3.80%,-0.90%
4/1/97,1.182,2.30%,1.80%
5/1/97,1.162,3.70%,-1.70%
6/1/97,1.162,2.70%,0.00%
7/1/97,1.169,2.30%,0.60%
8/1/97,1.118,-0.40%,-4.40%
9/1/97,1.222,3.30%,9.30%
10/1/97,1.235,7.00%,1.10%
11/1/97,1.23,3.90%,-0.40%
12/1/97,1.232,4.60%,0.20%
1/1/98,1.2,3.20%,-2.60%
2/1/98,1.285,9.70%,7.10%
3/1/98,1.215,4.70%,-5.40%
4/1/98,1.235,4.50%,1.60%
5/1/98,1.193,2.70%,-3.40%
6/1/98,1.181,1.60%,-1.00%
7/1/98,1.192,2.00%,0.90%
8/1/98,1.179,5.50%,-1.10%
9/1/98,1.16,-5.10%,-1.60%
10/1/98,1.251,1.30%,7.80%
11/1/98,1.301,5.80%,4.00%
12/1/98,1.278,3.70%,-1.80%
1/1/99,1.189,-0.90%,-7.00%
2/1/99,1.256,-2.30%,5.60%
3/1/99,1.269,4.40%,1.00%
4/1/99,1.261,2.10%,-0.60%
5/1/99,1.301,9.10%,3.20%
6/1/99,1.271,7.60%,-2.30%
7/1/99,1.241,4.10%,-2.40%
8/1/99,1.26,6.90%,1.50%
9/1/99,1.248,7.60%,-1.00%
10/1/99,1.291,3.20%,3.40%
11/1/99,1.459,12.10%,13.00%
12/1/99,1.444,13.00%,-1.00%
1/1/00,1.481,24.60%,2.60%
2/1/00,1.408,12.10%,-4.90%
3/1/00,1.405,10.70%,-0.20%
4/1/00,1.443,14.40%,2.70%
5/1/00,1.45,11.50%,0.50%
6/1/00,1.472,15.80%,1.50%
7/1/00,1.423,14.70%,-3.30%
8/1/00,1.459,15.80%,2.50%
9/1/00,1.517,21.60%,4.00%
10/1/00,1.487,15.20%,-2.00%
11/1/00,1.426,-2.30%,-4.10%
12/1/00,1.308,-9.40%,-8.30%
1/1/20,1.362,-8.00%,4.10%
2/1/20,1.275,-9.40%,-6.40%
3/1/20,1.274,-9.30%,-0.10%
4/1/20,1.231,-14.70%,-3.40%
5/1/20,1.278,-11.90%,3.80%
6/1/20,1.234,-16.20%,-3.40%
7/1/20,1.227,-13.80%,-0.60%
8/1/20,1.195,-18.10%,-2.60%
9/1/20,1.215,-19.90%,1.70%
10/1/20,1.25,-15.90%,2.90%
11/1/20,1.183,-17.00%,-5.40%
12/1/20,1.167,-10.80%,-1.40%
1/2/20,1.121,-17.70%,-3.90%
2/2/20,1.16,-9.00%,3.50%
3/2/20,1.201,-5.70%,3.50%
4/2/20,1.21,-1.70%,0.70%
5/2/20,1.17,-8.50%,-3.30%
6/2/20,1.2,-2.80%,2.60%
7/2/20,1.303,6.20%,8.60%
8/2/20,1.251,4.70%,-4.00%
9/2/20,1.291,6.30%,3.20%
10/2/20,1.297,3.80%,0.50%
11/2/20,1.235,4.40%,-4.80%
12/2/20,1.2,2.80%,-2.80%
1/3/20,1.207,7.70%,0.60%
2/3/20,1.205,3.90%,-0.20%
3/3/20,1.285,7.00%,6.60%
4/3/20,1.257,3.90%,-2.20%
5/3/20,1.249,6.80%,-0.60%
6/3/20,1.306,8.80%,4.60%
7/3/20,1.364,4.70%,4.40%
8/3/20,1.354,8.20%,-0.70%
9/3/20,1.425,10.40%,5.20%
10/3/20,1.389,7.10%,-2.50%
11/3/20,1.386,12.20%,-0.20%
12/3/20,1.376,14.70%,-0.70%
1/4/20,1.302,7.90%,-5.40%
2/4/20,1.375,14.10%,5.60%
3/4/20,1.43,11.30%,4.00%
4/4/20,1.432,13.90%,0.10%
5/4/20,1.506,20.60%,5.20%
