Month of Date,Year of Date,Date,Date (copy),Index Value
January,1999,1/1/99,Jan-99,1.055
February,1999,2/1/99,Feb-99,1.07
March,1999,3/1/99,Mar-99,1.054
April,1999,4/1/99,Apr-99,1.083
May,1999,5/1/99,May-99,1.038
June,1999,6/1/99,Jun-99,1.053
July,1999,7/1/99,Jul-99,1.041
August,1999,8/1/99,Aug-99,1.012
September,1999,9/1/99,Sep-99,1.036
October,1999,10/1/99,Oct-99,1.045
November,1999,11/1/99,Nov-99,1.101
December,1999,12/1/99,Dec-99,1.075
January,2000,1/1/00,Jan-00,1.134
February,2000,2/1/00,Feb-00,1.112
March,2000,3/1/00,Mar-00,1.142
April,2000,4/1/00,Apr-00,1.102
May,2000,5/1/00,May-00,1.103
June,2000,6/1/00,Jun-00,1.141
July,2000,7/1/00,Jul-00,1.052
August,2000,8/1/00,Aug-00,1.157
September,2000,9/1/00,Sep-00,1.183
October,2000,10/1/00,Oct-00,1.16
November,2000,11/1/00,Nov-00,1.101
December,2000,12/1/00,Dec-00,0.948
January,2001,1/1/01,Jan-01,1.069
February,2001,2/1/01,Feb-01,1.02
March,2001,3/1/01,Mar-01,1.049
April,2001,4/1/01,Apr-01,0.994
May,2001,5/1/01,May-01,1.075
June,2001,6/1/01,Jun-01,1.022
July,2001,7/1/01,Jul-01,1.045
August,2001,8/1/01,Aug-01,0.991
September,2001,9/1/01,Sep-01,0.999
October,2001,10/1/01,Oct-01,1.057
November,2001,11/1/01,Nov-01,0.979
December,2001,12/1/01,Dec-01,0.966
January,2002,1/1/02,Jan-02,0.937
February,2002,2/1/02,Feb-02,0.935
March,2002,3/1/02,Mar-02,0.946
April,2002,4/1/02,Apr-02,0.978
May,2002,5/1/02,May-02,0.967
June,2002,6/1/02,Jun-02,0.989
July,2002,7/1/02,Jul-02,1.062
August,2002,8/1/02,Aug-02,1.032
September,2002,9/1/02,Sep-02,1.049
October,2002,10/1/02,Oct-02,0.999
November,2002,11/1/02,Nov-02,0.943
December,2002,12/1/02,Dec-02,0.898
January,2003,1/1/03,Jan-03,0.94
February,2003,2/1/03,Feb-03,0.948
