State,Januray ,February 
AK,10143.59459,11337.48016
AL,17633.15365,16793.61107
AR,9044.511838,4916.062134
AZ,18379.81874,18114.76628
CA,28371.96839,25279.39612
CO,9850.247921,9751.252266
CT,5128.048708,3673.723404
DC,383.0873016,587.5806452
DE,40273.78378,36304.80331
FL,10788.84663,10105.74286
GA,10143.9521,11331.47865
HI,1323.703488,1164.221557
IA,10026.82192,10151.98065
ID,5515.472727,5324.281627
IL,55863.79124,58222.58975
IN,15489.04562,15461.36294
KS,3720.743278,3958.786811
KY,11290.93639,11839.27395
LA,31922.39692,30543.25455
MA,10122.52483,10432.08598
MD,7955.22744,7003.061837
ME,15274.31006,11808.30499
MI,32766.65249,35268.0377
MN,20702.04989,19732.37379
MO,13084.32815,10533.89305
MS,8075.794393,8671.583626
MT,30327.24893,23939.93279
NC,9428.967788,9748.351869
ND,12706.64051,12114.76223
NE,4541.946223,4400.186615
NH,3970.083951,3925.525657
NJ,12991.34091,13675.72242
NM,1922.754286,2869.700717
NV,3364.887526,3631.846723
NY,19604.34156,21666.89209
OH,24102.18338,23311.0265
OK,31133.07061,34560.93404
OR,11198.14587,11140.02698
PA,14624.75892,13020.54755
RI,5296.014684,4909.641813
SC,8503.772118,9077.199195
SD,3673.404444,3884.737307
TN,10646.43623,11167.10587
TX,36116.12991,35540.47714
UT,3652.173405,3897.658172
VA,6880.491386,7158.479554
VT,8477.520076,7363.840077
WA,36794.46255,33912.71227
WI,10115.47429,9796.134932
WV,7965.726058,7614.460215
WY,4058.922509,3182.244604
